,time,quant
0,2015-12-20,441.78
1,2015-12-21,437.59
2,2015-12-22,437.03
3,2015-12-23,442.43
4,2015-12-24,452.98
5,2015-12-25,454.05
6,2015-12-26,415.37
7,2015-12-27,422.39
8,2015-12-28,421.76
9,2015-12-29,431.92
10,2015-12-30,427.15
11,2015-12-31,429.95
12,2016-01-01,433.99
13,2016-01-02,433.72
14,2016-01-03,430.7
15,2016-01-04,433.32
16,2016-01-05,431.2
17,2016-01-06,430.82
18,2016-01-07,457.05
19,2016-01-08,452.87
20,2016-01-09,448.31
21,2016-01-10,446.19
22,2016-01-11,447.72
23,2016-01-12,445.04
24,2016-01-13,432.18
25,2016-01-14,429.13
26,2016-01-15,372.26
27,2016-01-16,385.04
28,2016-01-17,382.47
29,2016-01-18,384.4
30,2016-01-19,379.46
31,2016-01-20,414.58
32,2016-01-21,410.24
33,2016-01-22,382.65
34,2016-01-23,388.61
35,2016-01-24,402.13
36,2016-01-25,392.76
37,2016-01-26,389.78
38,2016-01-27,395.02
39,2016-01-28,379.69
40,2016-01-29,380.29
41,2016-01-30,377.76
42,2016-01-31,369.84
43,2016-02-01,372.18
44,2016-02-02,373.92
45,2016-02-03,368.02
46,2016-02-04,390.65
47,2016-02-05,386.46
48,2016-02-06,376.68
49,2016-02-07,377.94
50,2016-02-08,372.63
51,2016-02-09,375.32
52,2016-02-10,381.88
53,2016-02-11,379.45
54,2016-02-12,384.04
55,2016-02-13,390.1
56,2016-02-14,405.5
57,2016-02-15,401.07
58,2016-02-16,406.42
59,2016-02-17,417.14
60,2016-02-18,421.4
61,2016-02-19,419.98
62,2016-02-20,440.06
63,2016-02-21,437.87
64,2016-02-22,437.79
65,2016-02-23,419.9
66,2016-02-24,422.72
67,2016-02-25,423.48
68,2016-02-26,427.32
69,2016-02-27,431.3
70,2016-02-28,432.47
71,2016-02-29,436.21
72,2016-03-01,434.04
73,2016-03-02,425.36
74,2016-03-03,419.56
75,2016-03-04,409.48
76,2016-03-05,399.0
77,2016-03-06,405.96
78,2016-03-07,414.87
79,2016-03-08,411.9
80,2016-03-09,412.76
81,2016-03-10,415.83
82,2016-03-11,419.11
83,2016-03-12,410.36
84,2016-03-13,412.41
85,2016-03-14,414.31
86,2016-03-15,415.13
87,2016-03-16,415.91
88,2016-03-17,418.16
89,2016-03-18,408.16
90,2016-03-19,408.69
91,2016-03-20,411.53
92,2016-03-21,411.11
93,2016-03-22,416.21
94,2016-03-23,416.98
95,2016-03-24,414.74
96,2016-03-25,415.71
97,2016-03-26,416.51
98,2016-03-27,424.57
99,2016-03-28,422.21
100,2016-03-29,415.0
101,2016-03-30,412.44
102,2016-03-31,415.66
103,2016-04-01,415.64
104,2016-04-02,418.51
105,2016-04-03,419.06
106,2016-04-04,419.33
107,2016-04-05,422.07
108,2016-04-06,421.26
109,2016-04-07,420.14
110,2016-04-08,417.69
111,2016-04-09,418.05
112,2016-04-10,420.25
113,2016-04-11,421.43
114,2016-04-12,424.74
115,2016-04-13,423.47
116,2016-04-14,424.02
117,2016-04-15,428.67
118,2016-04-16,430.05
119,2016-04-17,426.26
120,2016-04-18,427.69
121,2016-04-19,434.92
122,2016-04-20,441.16
123,2016-04-21,449.34
124,2016-04-22,445.28
125,2016-04-23,450.08
126,2016-04-24,457.56
127,2016-04-25,461.73
128,2016-04-26,466.0
129,2016-04-27,447.01
130,2016-04-28,448.48
131,2016-04-29,454.98
132,2016-04-30,448.53
133,2016-05-01,452.24
134,2016-05-02,444.18
135,2016-05-03,450.27
136,2016-05-04,445.8
137,2016-05-05,448.08
138,2016-05-06,459.56
139,2016-05-07,458.46
140,2016-05-08,457.87
141,2016-05-09,460.44
142,2016-05-10,449.36
143,2016-05-11,452.5
144,2016-05-12,454.43
145,2016-05-13,455.41
146,2016-05-14,456.44
147,2016-05-15,458.11
148,2016-05-16,454.87
149,2016-05-17,453.25
150,2016-05-18,454.22
151,2016-05-19,442.66
152,2016-05-20,442.11
153,2016-05-21,443.64
154,2016-05-22,439.62
155,2016-05-23,443.69
156,2016-05-24,446.11
157,2016-05-25,449.78
158,2016-05-26,453.3
159,2016-05-27,474.05
160,2016-05-28,524.22
161,2016-05-29,516.05
162,2016-05-30,532.26
163,2016-05-31,528.92
164,2016-06-01,537.4
165,2016-06-02,537.1
166,2016-06-03,567.03
167,2016-06-04,571.95
168,2016-06-05,574.91
169,2016-06-06,583.58
170,2016-06-07,575.58
171,2016-06-08,580.51
172,2016-06-09,574.69
173,2016-06-10,577.89
174,2016-06-11,591.6
175,2016-06-12,666.55
176,2016-06-13,700.07
177,2016-06-14,685.14
178,2016-06-15,690.77
179,2016-06-16,761.21
180,2016-06-17,743.9
181,2016-06-18,753.77
182,2016-06-19,761.04
183,2016-06-20,733.97
184,2016-06-21,667.38
185,2016-06-22,590.56
186,2016-06-23,620.84
187,2016-06-24,656.89
188,2016-06-25,663.52
189,2016-06-26,625.41
190,2016-06-27,644.66
191,2016-06-28,644.89
192,2016-06-29,636.54
193,2016-06-30,670.02
194,2016-07-01,674.57
195,2016-07-02,698.06
196,2016-07-03,661.64
197,2016-07-04,675.16
198,2016-07-05,663.67
199,2016-07-06,672.7
200,2016-07-07,635.25
201,2016-07-08,662.78
202,2016-07-09,651.83
203,2016-07-10,647.11
204,2016-07-11,646.71
205,2016-07-12,670.56
206,2016-07-13,661.15
207,2016-07-14,657.25
208,2016-07-15,664.2
209,2016-07-16,660.69
210,2016-07-17,676.33
211,2016-07-18,670.38
212,2016-07-19,671.1
213,2016-07-20,664.4
214,2016-07-21,664.62
215,2016-07-22,651.11
216,2016-07-23,655.16
217,2016-07-24,659.29
218,2016-07-25,654.0
219,2016-07-26,654.38
220,2016-07-27,654.54
221,2016-07-28,654.13
222,2016-07-29,655.43
223,2016-07-30,654.74
224,2016-07-31,621.87
225,2016-08-01,607.0
226,2016-08-02,513.43
227,2016-08-03,566.44
228,2016-08-04,576.22
229,2016-08-05,574.66
230,2016-08-06,586.45
231,2016-08-07,590.85
232,2016-08-08,589.24
233,2016-08-09,585.25
234,2016-08-10,590.94
235,2016-08-11,587.84
236,2016-08-12,587.14
237,2016-08-13,584.59
238,2016-08-14,569.06
239,2016-08-15,566.95
240,2016-08-16,580.19
241,2016-08-17,572.34
242,2016-08-18,573.39
243,2016-08-19,574.56
244,2016-08-20,582.61
245,2016-08-21,580.66
246,2016-08-22,587.47
247,2016-08-23,583.56
248,2016-08-24,579.66
249,2016-08-25,577.96
250,2016-08-26,579.37
251,2016-08-27,570.35
252,2016-08-28,574.98
253,2016-08-29,574.23
254,2016-08-30,577.32
255,2016-08-31,573.88
256,2016-09-01,571.99
257,2016-09-02,575.29
258,2016-09-03,598.84
259,2016-09-04,609.55
260,2016-09-05,605.76
261,2016-09-06,610.44
262,2016-09-07,613.21
263,2016-09-08,625.57
264,2016-09-09,623.16
265,2016-09-10,624.52
266,2016-09-11,605.61
267,2016-09-12,607.98
268,2016-09-13,608.61
269,2016-09-14,609.54
270,2016-09-15,608.11
271,2016-09-16,607.78
